epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81227,2.34943,4.32439,2.58761,0.00084,0.16667,0.00091,9e-05,2.47644,5.6418,3.02686,4.287e-05,4.287e-05,4.287e-05
2,15.7914,1.92403,4.22215,2.12184,0.00208,0.36667,0.00678,0.00119,2.20732,5.32394,2.62894,9.80494e-05,9.80494e-05,9.80494e-05
3,23.5014,1.17986,3.73512,1.45866,0.00501,0.9,0.09399,0.05418,1.4932,4.75276,1.82132,0.000150965,0.000150965,0.000150965
4,31.3179,1.08581,3.6395,1.25215,0.00479,0.9,0.52117,0.4173,0.88756,4.09867,1.18517,0.000201618,0.000201618,0.000201618
5,38.8511,0.99745,3.22029,1.15518,0.00461,0.9,0.62641,0.54141,0.61569,3.90448,0.9928,0.000250006,0.000250006,0.000250006
6,46.4397,1.09522,2.87476,1.26654,0.00472,0.9,0.58875,0.47346,0.76397,3.92273,1.04271,0.000296132,0.000296132,0.000296132
7,54.8655,0.8136,2.43476,1.03465,0.00552,1,0.73817,0.57759,0.78769,3.75618,1.01506,0.000339993,0.000339993,0.000339993
8,62.5205,0.7853,2.30754,1.01421,0.00568,1,0.81804,0.61264,0.73375,3.7648,0.97693,0.000381592,0.000381592,0.000381592
9,70.2085,0.83498,2.22049,1.07621,0.00562,1,0.7852,0.60266,0.71563,3.72915,0.99608,0.000420926,0.000420926,0.000420926
10,78.1652,0.73112,2.19073,0.94971,0.00559,1,0.69321,0.52277,0.74401,3.73442,1.07376,0.000457997,0.000457997,0.000457997
11,85.6934,0.84966,2.16393,1.02535,0.00557,1,0.60042,0.46925,0.74599,3.6841,1.08079,0.000492805,0.000492805,0.000492805
12,93.2162,0.85289,2.18365,1.00958,0.0057,1,0.63375,0.51782,0.70461,3.64092,1.06001,0.000525349,0.000525349,0.000525349
13,100.885,0.80914,1.89316,1.03917,0.00566,1,0.7325,0.56753,0.88167,3.63947,1.12777,0.000555629,0.000555629,0.000555629
14,109.507,0.86881,2.12691,1.0896,0.00543,1,0.7325,0.5296,1.00801,3.75103,1.18822,0.000583646,0.000583646,0.000583646
15,117.406,0.8558,1.78415,1.0301,0.0054,1,0.72429,0.55133,0.99691,3.70251,1.11579,0.0006094,0.0006094,0.0006094
16,125.247,0.81441,1.60235,1.04309,0.0054,1,0.72429,0.55133,0.99691,3.70251,1.11579,0.00063289,0.00063289,0.00063289
17,133.418,0.67569,1.66917,0.96393,0.76701,0.29374,0.75267,0.65456,0.70461,3.52553,0.98234,0.000654116,0.000654116,0.000654116
18,140.737,0.68264,1.5198,0.97232,1,0.3284,0.85854,0.75623,0.64595,3.4141,0.94076,0.000673079,0.000673079,0.000673079
19,148.446,0.72689,1.56144,0.93239,1,0.3284,0.85854,0.75623,0.64595,3.4141,0.94076,0.000689778,0.000689778,0.000689778
20,156.474,0.68217,1.71169,1.00313,0.7611,0.60575,0.86456,0.72577,0.63616,3.11188,0.92191,0.000704214,0.000704214,0.000704214
21,165.277,0.72197,1.52164,0.99744,0.66652,0.7,0.80913,0.6087,0.79332,3.2923,1.0292,0.000716386,0.000716386,0.000716386
22,172.7,0.73933,1.35262,0.96456,0.66652,0.7,0.80913,0.6087,0.79332,3.2923,1.0292,0.000726295,0.000726295,0.000726295
23,180.29,0.73075,1.67104,0.95407,0.63273,0.67962,0.73182,0.56789,0.92241,3.39048,1.16413,0.00073394,0.00073394,0.00073394
24,187.73,0.68675,1.4722,0.99235,0.63273,0.67962,0.73182,0.56789,0.92241,3.39048,1.16413,0.000739322,0.000739322,0.000739322
25,195.817,0.66962,1.42114,0.96222,0.61499,0.60636,0.66793,0.55667,0.75999,3.2662,1.03971,0.00074244,0.00074244,0.00074244
26,203.627,0.66758,1.55141,0.9432,0.61499,0.60636,0.66793,0.55667,0.75999,3.2662,1.03971,0.000721645,0.000721645,0.000721645
27,211.79,0.73388,1.44948,0.95215,0.75744,0.62521,0.77252,0.59868,0.65509,3.10784,0.96119,0.000693351,0.000693351,0.000693351
28,219.429,0.65704,1.3684,0.94112,0.75744,0.62521,0.77252,0.59868,0.65509,3.10784,0.96119,0.000665057,0.000665057,0.000665057
29,227.394,0.64121,1.38224,0.96899,0.74708,0.84164,0.7838,0.66682,0.64229,3.00605,0.95886,0.000636762,0.000636762,0.000636762
30,235.05,0.57246,1.26239,0.89698,0.74708,0.84164,0.7838,0.66682,0.64229,3.00605,0.95886,0.000608468,0.000608468,0.000608468
31,242.687,0.61617,1.40701,0.93593,0.72521,0.86629,0.76612,0.695,0.55987,2.84979,0.92301,0.000580174,0.000580174,0.000580174
32,250.39,0.64731,1.40446,0.98632,0.72521,0.86629,0.76612,0.695,0.55987,2.84979,0.92301,0.00055188,0.00055188,0.00055188
33,258.047,0.60116,1.23584,0.92572,0.87138,0.84159,0.84583,0.68325,0.5601,2.63329,0.91218,0.000523586,0.000523586,0.000523586
34,265.404,0.64377,1.30289,0.95878,0.87138,0.84159,0.84583,0.68325,0.5601,2.63329,0.91218,0.000495291,0.000495291,0.000495291
35,272.915,0.56917,1.26241,0.92141,0.86272,0.89959,0.88393,0.69481,0.57432,2.54244,0.92436,0.000466997,0.000466997,0.000466997
36,280.509,0.5957,1.17523,0.94292,0.86272,0.89959,0.88393,0.69481,0.57432,2.54244,0.92436,0.000438703,0.000438703,0.000438703
37,288.044,0.5633,1.26517,0.95556,0.81373,0.93977,0.95375,0.80479,0.57625,2.35202,0.94563,0.000410409,0.000410409,0.000410409
38,295.96,0.52238,1.34105,0.90302,0.81373,0.93977,0.95375,0.80479,0.57625,2.35202,0.94563,0.000382115,0.000382115,0.000382115
39,303.769,0.55612,1.24241,0.90216,0.77905,0.83135,0.91625,0.75759,0.65162,2.50682,0.97946,0.00035382,0.00035382,0.00035382
40,311.597,0.58786,1.23823,0.95425,0.77905,0.83135,0.91625,0.75759,0.65162,2.50682,0.97946,0.000325526,0.000325526,0.000325526
41,319.35,0.47991,1.52681,0.87324,0.85697,0.7375,0.86268,0.74342,0.63,2.61298,0.96696,0.000297232,0.000297232,0.000297232
42,327.396,0.45344,1.49142,0.83175,0.85697,0.7375,0.86268,0.74342,0.63,2.61298,0.96696,0.000268938,0.000268938,0.000268938
43,334.993,0.45264,1.54712,0.82576,0.86674,0.73695,0.86237,0.7523,0.65982,2.60737,0.99172,0.000240644,0.000240644,0.000240644
44,342.65,0.43622,1.5109,0.79586,0.86674,0.73695,0.86237,0.7523,0.65982,2.60737,0.99172,0.000212349,0.000212349,0.000212349
45,350.269,0.41448,1.42388,0.8678,0.8573,0.76041,0.78126,0.64281,0.66068,2.56981,1.00195,0.000184055,0.000184055,0.000184055
46,357.804,0.40035,1.4009,0.79212,0.8573,0.76041,0.78126,0.64281,0.66068,2.56981,1.00195,0.000155761,0.000155761,0.000155761
47,365.465,0.40213,1.42381,0.85776,0.80662,0.86451,0.78174,0.65958,0.63969,2.50508,0.99747,0.000127467,0.000127467,0.000127467
48,372.815,0.38591,1.43293,0.86422,0.80662,0.86451,0.78174,0.65958,0.63969,2.50508,0.99747,9.91726e-05,9.91726e-05,9.91726e-05
49,380.059,0.37132,1.43761,0.85462,0.82,0.88991,0.8244,0.71791,0.64381,2.42204,1.00457,7.08784e-05,7.08784e-05,7.08784e-05
50,387.459,0.38973,1.4273,0.83414,0.82,0.88991,0.8244,0.71791,0.64381,2.42204,1.00457,4.25842e-05,4.25842e-05,4.25842e-05
